item_id,ADI,cv2,zero_ratio,demand_type,demand_type_name,demand_type_dbscan,demand_type_2
0.0,14.304347826086957,4.22367697308109,0.8459016393442623,0,Lumpy,0,0
1.0,15.095238095238095,2.650620034335449,0.9278688524590164,2,Intermittent,0,0
2.0,27.304347826086957,1.3534994228032968,0.921311475409836,2,Intermittent,0,0
3.0,193.5,0.48,0.9901639344262295,2,Intermittent,0,1
5.0,104.0,0.16601562499999997,0.9836065573770492,2,Intermittent,0,0
6.0,198.0,0.013840830449826985,0.9868852459016394,2,Intermittent,0,1
7.0,11.096774193548388,2.6310611076182493,0.7934426229508197,2,Intermittent,0,0
8.0,6.376146788990826,1.6799232010371998,0.639344262295082,1,Smooth,0,0
10.0,5.906779661016949,2.969813041327603,0.6098360655737705,1,Smooth,0,0
11.0,7.920454545454546,6.830039004358468,0.7081967213114754,1,Smooth,0,0
12.0,24.666666666666668,3.350384589997165,0.9573770491803278,2,Intermittent,0,0
13.0,5.548076923076923,10.19164522973833,0.6557377049180327,1,Smooth,0,0
14.0,2.883116883116883,8.567192987194035,0.23934426229508196,1,Smooth,0,0
15.0,5.548076923076923,6.487919816147832,0.6557377049180327,1,Smooth,0,0
16.0,4.333333333333333,1.55367218127877,0.7311475409836066,1,Smooth,0,0
17.0,13.568627450980392,2.84216962180103,0.8295081967213115,2,Intermittent,0,0
18.0,7.869565217391305,2.531054161344821,0.7704918032786885,2,Intermittent,0,0
19.0,7.647887323943662,3.641877406869228,0.7639344262295082,0,Lumpy,0,0
20.0,3.5380710659898478,4.258031433319538,0.35081967213114756,1,Smooth,0,0
21.0,2.9533898305084745,4.193862193271504,0.22295081967213115,1,Smooth,0,0
22.0,6.008620689655173,3.973157419301707,0.6163934426229508,1,Smooth,0,0
23.0,13.933333333333334,0.24869505632922867,0.8491803278688524,2,Intermittent,0,0
24.0,9.92156862745098,0.6966994193728645,0.8295081967213115,2,Intermittent,0,0
25.0,27.90909090909091,0.2759963269054178,0.9245901639344263,2,Intermittent,0,0
26.0,6.546875,1.5273005850125352,0.7868852459016393,2,Intermittent,0,0
27.0,6.393939393939394,2.8734987367908076,0.780327868852459,2,Intermittent,0,0
28.0,6.222222222222222,2.4540845070422526,0.819672131147541,2,Intermittent,0,0
29.0,6.403846153846154,2.6268188574149693,0.6557377049180327,1,Smooth,0,0
30.0,30.5,0.0,0.9901639344262295,2,Intermittent,0,0
31.0,8.089285714285714,2.424227578670811,0.8131147540983606,2,Intermittent,0,0
32.0,160.0,0.12,0.9901639344262295,2,Intermittent,0,1
